Interaction ID,Interaction Type,Date Received,Date Resolved,Category,Resolution Time (Days),SLA Threshold (Days),Within SLA
6670,Calls,6/14/2023,6/16/2023,Mobile App Issue,2,5,No
2745,Calls,7/31/2023,8/6/2023,Mobile App Issue,6,5,No
1788,Calls,3/9/2021,3/10/2021,Fraud Alert,1,5,Yes
5785,Calls,2/14/2023,2/20/2023,Close Account,6,5,No
2158,Calls,9/22/2021,9/23/2021,Mobile App Issue,1,5,Yes
6142,Calls,4/9/2022,4/19/2022,Account Question,10,5,No
8101,Calls,1/15/2021,1/18/2021,Open Account,3,5,No
6882,Calls,5/28/2023,5/31/2023,Close Account,3,5,No
3940,Calls,11/14/2021,11/17/2021,Account Question,3,5,No
1814,Calls,9/19/2021,9/26/2021,Mobile App Issue,7,5,No
9764,Calls,9/11/2021,9/14/2021,Account Question,3,5,No
8243,Calls,3/27/2021,3/28/2021,General Complaint,1,5,Yes
5308,Calls,7/5/2023,7/8/2023,Close Account,3,5,No
3606,Calls,6/24/2021,6/27/2021,Open Account,3,5,No
9387,Calls,9/28/2021,10/1/2021,Debit Card Issue,3,5,No
5107,Calls,3/7/2021,3/14/2021,Mobile App Issue,7,5,No
3367,Calls,8/15/2023,8/16/2023,Account Question,1,5,Yes
3315,Calls,10/27/2022,11/1/2022,Account Question,5,5,No
6852,Calls,6/14/2022,6/16/2022,General Complaint,2,5,No
2677,Calls,7/7/2023,7/9/2023,Fraud Alert,2,5,No
4592,Calls,12/7/2023,12/10/2023,Open Account,3,5,No
1842,Calls,11/4/2023,11/7/2023,Mobile App Issue,3,5,No
5345,Calls,7/23/2023,7/26/2023,Account Question,3,5,No
4382,Calls,9/5/2021,9/7/2021,Close Account,2,5,No
7375,Calls,11/1/2021,11/2/2021,Fraud Alert,1,5,Yes
7286,Calls,6/1/2021,6/3/2021,Open Account,2,5,No
9959,Calls,1/13/2021,1/18/2021,Mobile App Issue,5,5,No
6398,Calls,11/3/2023,11/5/2023,Mobile App Issue,2,5,No
5489,Calls,5/25/2021,5/26/2021,Debit Card Issue,1,5,Yes
8802,Calls,8/13/2023,8/16/2023,Debit Card Issue,3,5,No
3757,Calls,10/5/2021,10/9/2021,Close Account,4,5,No
7892,Calls,7/4/2023,7/8/2023,Fraud Alert,4,5,No
4549,Calls,6/28/2021,7/1/2021,General Complaint,3,5,No
8877,Calls,9/20/2021,9/21/2021,Close Account,1,5,Yes
1332,Calls,9/17/2023,9/20/2023,Mobile App Issue,3,5,No
9192,Calls,11/2/2022,11/4/2022,Debit Card Issue,2,5,No
5079,Calls,2/28/2022,3/6/2022,Close Account,6,5,No
6768,Calls,7/11/2022,7/12/2022,Fraud Alert,1,5,Yes
5756,Calls,5/24/2022,5/27/2022,Open Account,3,5,No
1464,Calls,1/8/2022,1/11/2022,Close Account,3,5,No
9020,Calls,6/3/2022,6/5/2022,Debit Card Issue,2,5,No
2604,Calls,7/27/2022,7/28/2022,Fraud Alert,1,5,Yes
6810,Calls,6/30/2023,7/2/2023,Account Question,2,5,No
4257,Calls,10/8/2023,10/17/2023,Mobile App Issue,9,5,No
3160,Calls,3/29/2023,3/31/2023,Account Question,2,5,No
6744,Calls,3/1/2021,3/3/2021,Mobile App Issue,2,5,No
5787,Calls,5/2/2023,5/5/2023,Account Question,3,5,No
2741,Calls,1/19/2021,1/21/2021,Mobile App Issue,2,5,No
9351,Calls,11/4/2022,11/8/2022,Mobile App Issue,4,5,No
7604,Calls,12/24/2021,12/26/2021,Close Account,2,5,No
9628,Calls,11/2/2022,11/7/2022,General Complaint,5,5,No
9556,Calls,9/8/2023,9/12/2023,Account Question,4,5,No
3696,Calls,5/4/2023,5/11/2023,Mobile App Issue,7,5,No
1583,Calls,1/15/2023,1/17/2023,Open Account,2,5,No
9741,Calls,8/13/2021,8/16/2021,General Complaint,3,5,No
8575,Calls,5/18/2022,5/22/2022,Open Account,4,5,No
5297,Calls,11/17/2023,11/20/2023,Open Account,3,5,No
1204,Calls,4/18/2023,4/25/2023,Mobile App Issue,7,5,No
1621,Calls,9/30/2023,10/1/2023,Open Account,1,5,Yes
4699,Calls,8/9/2023,8/11/2023,Open Account,2,5,No
8036,Calls,8/17/2022,8/19/2022,Mobile App Issue,2,5,No
7283,Calls,10/11/2021,10/14/2021,Account Question,3,5,No
3708,Calls,2/16/2023,2/17/2023,Mobile App Issue,1,5,Yes
5078,Calls,8/22/2023,8/31/2023,Account Question,9,5,No
4432,Calls,7/2/2023,7/3/2023,Open Account,1,5,Yes
9428,Calls,7/28/2022,7/30/2022,General Complaint,2,5,No
5178,Calls,3/10/2022,3/13/2022,Close Account,3,5,No
7081,Calls,6/5/2023,6/12/2023,Open Account,7,5,No
3837,Calls,6/13/2022,6/14/2022,Close Account,1,5,Yes
2772,Calls,3/20/2021,3/21/2021,Debit Card Issue,1,5,Yes
3213,Calls,5/18/2022,5/20/2022,Account Question,2,5,No
1824,Calls,9/10/2022,9/12/2022,Account Question,2,5,No
1284,Calls,11/7/2022,11/8/2022,Fraud Alert,1,5,Yes
7873,Calls,2/19/2023,2/22/2023,Mobile App Issue,3,5,No
9475,Calls,8/19/2022,8/20/2022,Open Account,1,5,Yes
2354,Calls,8/28/2021,8/29/2021,Fraud Alert,1,5,Yes
6399,Calls,1/3/2023,1/7/2023,Open Account,4,5,No
1428,Calls,5/17/2021,5/23/2021,Close Account,6,5,No
1709,Calls,6/3/2023,6/5/2023,Fraud Alert,2,5,No
1291,Calls,6/20/2022,6/27/2022,Mobile App Issue,7,5,No
2641,Calls,4/10/2021,4/12/2021,Mobile App Issue,2,5,No
6373,Calls,8/22/2022,8/29/2022,Account Question,7,5,No
6549,Calls,1/3/2022,1/6/2022,Fraud Alert,3,5,No
9490,Calls,10/26/2023,10/28/2023,Account Question,2,5,No
9349,Calls,11/1/2023,11/3/2023,Open Account,2,5,No
2594,Calls,2/25/2023,3/1/2023,General Complaint,4,5,No
9916,Calls,3/20/2021,3/22/2021,Open Account,2,5,No
1802,Calls,10/1/2022,10/4/2022,General Complaint,3,5,No
5723,Calls,8/13/2022,8/16/2022,Close Account,3,5,No
1155,Calls,3/2/2022,3/5/2022,Fraud Alert,3,5,No
2062,Calls,11/16/2023,11/18/2023,Open Account,2,5,No
4302,Calls,10/6/2023,10/7/2023,Fraud Alert,1,5,Yes
2269,Calls,3/3/2022,3/7/2022,Close Account,4,5,No
5578,Calls,6/30/2021,7/1/2021,Close Account,1,5,Yes
7829,Calls,7/31/2022,8/2/2022,Open Account,2,5,No
5404,Calls,12/26/2021,12/28/2021,Close Account,2,5,No
4648,Calls,7/6/2021,7/11/2021,Mobile App Issue,5,5,No
3076,Calls,10/12/2023,10/13/2023,General Complaint,1,5,Yes
5323,Calls,3/27/2021,3/28/2021,Mobile App Issue,1,5,Yes
3112,Calls,3/28/2022,4/2/2022,Close Account,5,5,No
3810,Calls,10/4/2022,10/10/2022,Account Question,6,5,No
1480,Calls,8/11/2023,8/13/2023,Debit Card Issue,2,5,No
8929,Calls,6/8/2021,6/9/2021,Mobile App Issue,1,5,Yes
4969,Calls,12/11/2021,12/14/2021,Mobile App Issue,3,5,No
4769,Calls,6/28/2021,6/29/2021,Debit Card Issue,1,5,Yes
3983,Calls,4/30/2021,5/1/2021,Mobile App Issue,1,5,Yes
2803,Calls,1/26/2021,1/27/2021,General Complaint,1,5,Yes
4342,Calls,4/5/2021,4/10/2021,Close Account,5,5,No
6558,Calls,5/4/2022,5/6/2022,General Complaint,2,5,No
1651,Calls,11/10/2023,11/11/2023,General Complaint,1,5,Yes
7818,Calls,4/9/2022,4/12/2022,Debit Card Issue,3,5,No
1309,Calls,2/25/2023,2/28/2023,Fraud Alert,3,5,No
8406,Calls,4/30/2021,5/2/2021,Open Account,2,5,No
6383,Calls,12/2/2022,12/4/2022,Mobile App Issue,2,5,No
7390,Calls,1/25/2023,1/31/2023,Debit Card Issue,6,5,No
5129,Calls,11/18/2022,11/20/2022,Open Account,2,5,No
4881,Calls,12/15/2021,12/16/2021,Open Account,1,5,Yes
7001,Calls,11/11/2021,11/15/2021,Close Account,4,5,No
3199,Calls,4/26/2023,4/28/2023,General Complaint,2,5,No
6631,Calls,10/11/2023,10/14/2023,Fraud Alert,3,5,No
4713,Calls,6/11/2023,6/14/2023,Close Account,3,5,No
8684,Calls,7/11/2022,7/13/2022,Close Account,2,5,No
9780,Calls,11/12/2021,11/15/2021,Mobile App Issue,3,5,No
4711,Calls,6/16/2021,6/20/2021,Debit Card Issue,4,5,No
9706,Calls,4/19/2022,4/21/2022,General Complaint,2,5,No
1886,Calls,12/1/2021,12/2/2021,Account Question,1,5,Yes
7006,Calls,1/29/2022,2/1/2022,Close Account,3,5,No
8340,Calls,3/25/2023,3/27/2023,Mobile App Issue,2,5,No
7958,Calls,11/15/2022,11/16/2022,Close Account,1,5,Yes
8570,Calls,2/3/2022,2/4/2022,Fraud Alert,1,5,Yes
7886,Calls,8/29/2022,8/31/2022,Open Account,2,5,No
6544,Calls,4/9/2022,4/13/2022,Open Account,4,5,No
9522,Calls,11/11/2021,11/13/2021,Open Account,2,5,No
3111,Calls,8/12/2022,8/13/2022,Mobile App Issue,1,5,Yes
3488,Calls,8/6/2023,8/8/2023,Fraud Alert,2,5,No
2204,Calls,4/25/2022,4/30/2022,Open Account,5,5,No
2453,Calls,10/24/2021,10/25/2021,Close Account,1,5,Yes
3307,Calls,1/9/2023,1/10/2023,Mobile App Issue,1,5,Yes
5709,Calls,9/26/2023,9/27/2023,Open Account,1,5,Yes
9365,Calls,11/7/2021,11/11/2021,Mobile App Issue,4,5,No
1216,Calls,2/28/2023,3/1/2023,General Complaint,1,5,Yes
4134,Calls,10/22/2022,10/25/2022,Debit Card Issue,3,5,No
3668,Calls,11/28/2023,12/1/2023,Mobile App Issue,3,5,No
9213,Calls,9/3/2021,9/5/2021,Close Account,2,5,No
7594,Calls,6/22/2021,6/24/2021,Close Account,2,5,No
9746,Calls,1/8/2021,1/9/2021,Close Account,1,5,Yes
2024,Calls,8/10/2023,8/17/2023,Mobile App Issue,7,5,No
2485,Calls,5/23/2021,5/24/2021,Mobile App Issue,1,5,Yes
8235,Calls,6/29/2022,7/1/2022,General Complaint,2,5,No
2281,Calls,8/1/2021,8/10/2021,Open Account,9,5,No
5002,Calls,10/28/2021,10/31/2021,Close Account,3,5,No
2975,Calls,4/27/2021,5/2/2021,Debit Card Issue,5,5,No
8184,Calls,10/10/2022,10/12/2022,Fraud Alert,2,5,No
8099,Calls,1/22/2022,1/24/2022,Fraud Alert,2,5,No
8959,Calls,1/7/2021,1/11/2021,Debit Card Issue,4,5,No
7945,Calls,4/8/2022,4/11/2022,Open Account,3,5,No
9136,Calls,9/7/2022,9/12/2022,Close Account,5,5,No
4146,Calls,2/25/2021,2/27/2021,General Complaint,2,5,No
7685,Calls,4/5/2021,4/7/2021,Open Account,2,5,No
5526,Calls,8/13/2021,8/15/2021,Fraud Alert,2,5,No
7244,Calls,5/12/2021,5/18/2021,General Complaint,6,5,No
8880,Calls,5/31/2023,6/3/2023,Fraud Alert,3,5,No
6026,Calls,3/23/2023,4/1/2023,Mobile App Issue,9,5,No
5847,Calls,2/10/2021,2/12/2021,Debit Card Issue,2,5,No
7819,Calls,12/9/2021,12/10/2021,Mobile App Issue,1,5,Yes
3436,Calls,10/25/2023,10/31/2023,Fraud Alert,6,5,No
9309,Calls,10/5/2021,10/6/2021,Fraud Alert,1,5,Yes
5361,Calls,10/1/2021,10/7/2021,Mobile App Issue,6,5,No
7830,Calls,9/15/2021,9/16/2021,Open Account,1,5,Yes
8519,Calls,2/3/2023,2/6/2023,Mobile App Issue,3,5,No
2458,Calls,1/15/2022,1/18/2022,Fraud Alert,3,5,No
6728,Calls,8/26/2022,8/28/2022,Account Question,2,5,No
3767,Calls,2/19/2022,2/20/2022,Debit Card Issue,1,5,Yes
5994,Calls,4/29/2023,4/30/2023,Open Account,1,5,Yes
5214,Calls,8/22/2021,8/25/2021,Mobile App Issue,3,5,No
6543,Calls,10/6/2023,10/8/2023,General Complaint,2,5,No
4543,Calls,12/5/2022,12/8/2022,Close Account,3,5,No
2868,Calls,8/10/2022,8/14/2022,Fraud Alert,4,5,No
5110,Calls,7/8/2022,7/15/2022,Fraud Alert,7,5,No
7871,Calls,1/30/2021,2/1/2021,Account Question,2,5,No
2188,Calls,2/3/2021,2/6/2021,General Complaint,3,5,No
2099,Calls,11/5/2021,11/10/2021,Account Question,5,5,No
2450,Calls,4/8/2023,4/10/2023,Account Question,2,5,No
8968,Calls,4/9/2022,4/12/2022,Debit Card Issue,3,5,No
3857,Calls,10/3/2023,10/5/2023,Open Account,2,5,No
2284,Calls,9/6/2023,9/9/2023,Fraud Alert,3,5,No
6606,Calls,11/18/2023,11/21/2023,Close Account,3,5,No
1444,Calls,4/17/2022,4/20/2022,Fraud Alert,3,5,No
1778,Calls,12/13/2023,12/19/2023,Mobile App Issue,6,5,No
4034,Calls,3/31/2022,4/1/2022,General Complaint,1,5,Yes
6204,Calls,7/31/2021,8/1/2021,Open Account,1,5,Yes
5694,Calls,5/7/2023,5/9/2023,Account Question,2,5,No
2323,Calls,3/13/2022,3/14/2022,Open Account,1,5,Yes
7336,Calls,5/18/2021,5/19/2021,General Complaint,1,5,Yes
8141,Calls,2/5/2021,2/6/2021,General Complaint,1,5,Yes
7258,Calls,9/11/2022,9/17/2022,Fraud Alert,6,5,No
8036,Calls,2/28/2023,3/1/2023,Debit Card Issue,1,5,Yes
2625,Calls,4/28/2023,4/29/2023,General Complaint,1,5,Yes
4173,Calls,11/5/2022,11/6/2022,Account Question,1,5,Yes
7834,Calls,10/31/2022,11/2/2022,Account Question,2,5,No
2597,Calls,9/3/2022,9/5/2022,Debit Card Issue,2,5,No
1797,Calls,2/23/2021,2/26/2021,Account Question,3,5,No
1830,Calls,8/4/2021,8/11/2021,Debit Card Issue,7,5,No
8537,Calls,6/8/2022,6/10/2022,Account Question,2,5,No
4401,Calls,6/27/2023,7/2/2023,Open Account,5,5,No
6301,Calls,10/13/2022,10/14/2022,Open Account,1,5,Yes
9536,Calls,12/2/2022,12/7/2022,Mobile App Issue,5,5,No
9140,Calls,6/1/2022,6/3/2022,Mobile App Issue,2,5,No
7205,Calls,10/4/2023,10/12/2023,Mobile App Issue,8,5,No
2700,Calls,3/19/2021,3/21/2021,Account Question,2,5,No
8182,Calls,3/5/2023,3/10/2023,Mobile App Issue,5,5,No
2500,Calls,8/29/2023,8/31/2023,Close Account,2,5,No
6243,Calls,7/3/2022,7/6/2022,Fraud Alert,3,5,No
3444,Calls,5/15/2022,5/16/2022,Open Account,1,5,Yes
5714,Calls,6/21/2022,6/26/2022,Mobile App Issue,5,5,No
8160,Calls,7/3/2023,7/5/2023,Debit Card Issue,2,5,No
3694,Calls,7/20/2023,7/23/2023,Fraud Alert,3,5,No
4280,Calls,11/27/2023,11/29/2023,Close Account,2,5,No
6432,Calls,9/21/2021,9/23/2021,Mobile App Issue,2,5,No
9857,Calls,7/16/2022,7/21/2022,Mobile App Issue,5,5,No
1192,Calls,2/20/2022,2/22/2022,Close Account,2,5,No
7772,Calls,11/21/2023,11/24/2023,Close Account,3,5,No
7516,Calls,10/9/2022,10/14/2022,General Complaint,5,5,No
2495,Calls,4/23/2023,4/25/2023,Account Question,2,5,No
3500,Calls,2/2/2021,2/4/2021,Open Account,2,5,No
6303,Calls,10/16/2023,10/17/2023,Close Account,1,5,Yes
3051,Calls,1/19/2022,1/20/2022,Close Account,1,5,Yes
5083,Calls,10/24/2021,10/25/2021,General Complaint,1,5,Yes
8434,Calls,8/5/2023,8/6/2023,Debit Card Issue,1,5,Yes
1309,Calls,11/24/2023,11/26/2023,Mobile App Issue,2,5,No
4509,Calls,11/3/2021,11/5/2021,Open Account,2,5,No
2332,Calls,11/23/2022,11/24/2022,Close Account,1,5,Yes
4528,Calls,6/17/2022,6/19/2022,Debit Card Issue,2,5,No
5933,Calls,2/12/2021,2/14/2021,Close Account,2,5,No
4652,Calls,3/4/2021,3/7/2021,Close Account,3,5,No
1107,Calls,8/29/2021,9/1/2021,Fraud Alert,3,5,No
7784,Calls,12/24/2021,12/27/2021,Fraud Alert,3,5,No
8397,Calls,5/24/2022,5/30/2022,Fraud Alert,6,5,No
8908,Calls,4/19/2023,4/26/2023,Mobile App Issue,7,5,No
3841,Calls,4/30/2021,5/3/2021,General Complaint,3,5,No
1957,Calls,3/11/2021,3/15/2021,General Complaint,4,5,No
9348,Calls,3/10/2021,3/17/2021,Close Account,7,5,No
8741,Calls,8/10/2021,8/11/2021,Account Question,1,5,Yes
5843,Calls,10/22/2022,10/23/2022,General Complaint,1,5,Yes
1605,Calls,11/24/2022,11/26/2022,General Complaint,2,5,No
1272,Calls,8/5/2023,8/10/2023,General Complaint,5,5,No
4176,Calls,7/6/2022,7/9/2022,General Complaint,3,5,No
7219,Calls,9/14/2021,9/16/2021,Fraud Alert,2,5,No
8099,Calls,5/15/2023,5/20/2023,General Complaint,5,5,No
5006,Calls,5/7/2022,5/8/2022,Fraud Alert,1,5,Yes
1022,Calls,6/22/2022,6/25/2022,Mobile App Issue,3,5,No
5299,Calls,6/14/2023,6/17/2023,Fraud Alert,3,5,No
3271,Calls,11/16/2021,11/19/2021,Mobile App Issue,3,5,No
5360,Calls,9/2/2021,9/5/2021,Open Account,3,5,No
6489,Calls,6/11/2023,6/13/2023,Debit Card Issue,2,5,No
1394,Calls,4/9/2022,4/11/2022,Fraud Alert,2,5,No
